{'error': 'remaining_size less than 0', 'new_remaining_size': -0.4084683641983551, 'time': 0.3119443518518518, 'flow_id': 'DATA_F8b_DP0_PP3_TP0_Rank12_Rank0', 'last_begin_time': 0.3066137962962963, 'rate': 8333.333333333334, 'remaining_size': 5.14419367283863, 'transferred': 5.552662037036985}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.4368248456788504, 'time': 0.31424435185185184, 'flow_id': 'DATA_B2a_DP3_PP2_TP0_Rank11_Rank7', 'last_begin_time': 0.3119443518518518, 'rate': 6250.0, 'remaining_size': 1.3600501543211685, 'transferred': 1.7968750000000189}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.968942901233903, 'time': 0.31424435185185184, 'flow_id': 'DATA_B5b_DP0_PP2_TP0_Rank8_Rank4', 'last_begin_time': 0.3119443518518518, 'rate': 6250.0, 'remaining_size': 0.8279320987661158, 'transferred': 1.7968750000000189}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.968942901233903, 'time': 0.31424435185185184, 'flow_id': 'DATA_B5b_DP2_PP2_TP0_Rank10_Rank6', 'last_begin_time': 0.3119443518518518, 'rate': 6250.0, 'remaining_size': 0.8279320987661158, 'transferred': 1.7968750000000189}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.4368248456788504, 'time': 0.31424435185185184, 'flow_id': 'DATA_B2a_DP0_PP2_TP0_Rank8_Rank4', 'last_begin_time': 0.3119443518518518, 'rate': 6250.0, 'remaining_size': 1.3600501543211685, 'transferred': 1.7968750000000189}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.968942901233903, 'time': 0.31424435185185184, 'flow_id': 'DATA_B5b_DP3_PP2_TP0_Rank11_Rank7', 'last_begin_time': 0.3119443518518518, 'rate': 6250.0, 'remaining_size': 0.8279320987661158, 'transferred': 1.7968750000000189}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.4368248456788504, 'time': 0.31424435185185184, 'flow_id': 'DATA_B2a_DP1_PP2_TP0_Rank9_Rank5', 'last_begin_time': 0.3119443518518518, 'rate': 6250.0, 'remaining_size': 1.3600501543211685, 'transferred': 1.7968750000000189}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.968942901233903, 'time': 0.31424435185185184, 'flow_id': 'DATA_B5b_DP1_PP2_TP0_Rank9_Rank5', 'last_begin_time': 0.3119443518518518, 'rate': 6250.0, 'remaining_size': 0.8279320987661158, 'transferred': 1.7968750000000189}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.4368248456788504, 'time': 0.31424435185185184, 'flow_id': 'DATA_B2a_DP2_PP2_TP0_Rank10_Rank6', 'last_begin_time': 0.3119443518518518, 'rate': 6250.0, 'remaining_size': 1.3600501543211685, 'transferred': 1.7968750000000189}
{'error': 'remaining_size less than 0', 'new_remaining_size': -2.395833333333359, 'time': 0.31654435185185187, 'flow_id': 'DATA_B5b_DP1_PP2_TP0_Rank9_Rank5', 'last_begin_time': 0.31424435185185184, 'rate': 8333.333333333334, 'remaining_size': 0, 'transferred': 2.395833333333359}
{'error': 'remaining_size less than 0', 'new_remaining_size': -2.395833333333359, 'time': 0.31654435185185187, 'flow_id': 'DATA_B5b_DP3_PP2_TP0_Rank11_Rank7', 'last_begin_time': 0.31424435185185184, 'rate': 8333.333333333334, 'remaining_size': 0, 'transferred': 2.395833333333359}
{'error': 'remaining_size less than 0', 'new_remaining_size': -2.395833333333359, 'time': 0.31654435185185187, 'flow_id': 'DATA_B5b_DP2_PP2_TP0_Rank10_Rank6', 'last_begin_time': 0.31424435185185184, 'rate': 8333.333333333334, 'remaining_size': 0, 'transferred': 2.395833333333359}
{'error': 'remaining_size less than 0', 'new_remaining_size': -2.395833333333359, 'time': 0.31654435185185187, 'flow_id': 'DATA_B5b_DP0_PP2_TP0_Rank8_Rank4', 'last_begin_time': 0.31424435185185184, 'rate': 8333.333333333334, 'remaining_size': 0, 'transferred': 2.395833333333359}
{'error': 'remaining_size less than 0', 'new_remaining_size': -1.9801793981479368, 'time': 0.31781166666666655, 'flow_id': 'DATA_B5b_DP2_PP2_TP0_Rank10_Rank6', 'last_begin_time': 0.31654435185185187, 'rate': 12500.0, 'remaining_size': 0.0, 'transferred': 1.9801793981479368}
{'error': 'remaining_size less than 0', 'new_remaining_size': -1.9801793981479368, 'time': 0.31781166666666655, 'flow_id': 'DATA_B5b_DP3_PP2_TP0_Rank11_Rank7', 'last_begin_time': 0.31654435185185187, 'rate': 12500.0, 'remaining_size': 0.0, 'transferred': 1.9801793981479368}
{'error': 'remaining_size less than 0', 'new_remaining_size': -1.9801793981479368, 'time': 0.31781166666666655, 'flow_id': 'DATA_B5b_DP0_PP2_TP0_Rank8_Rank4', 'last_begin_time': 0.31654435185185187, 'rate': 12500.0, 'remaining_size': 0.0, 'transferred': 1.9801793981479368}
{'error': 'remaining_size less than 0', 'new_remaining_size': -1.9801793981479368, 'time': 0.31781166666666655, 'flow_id': 'DATA_B5b_DP1_PP2_TP0_Rank9_Rank5', 'last_begin_time': 0.31654435185185187, 'rate': 12500.0, 'remaining_size': 0.0, 'transferred': 1.9801793981479368}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.5138888888889596, 'time': 0.31830499999999995, 'flow_id': 'DATA_B5b_DP2_PP2_TP0_Rank10_Rank6', 'last_begin_time': 0.31781166666666655, 'rate': 8333.333333333334, 'remaining_size': 0.0, 'transferred': 0.5138888888889596}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.5138888888889596, 'time': 0.31830499999999995, 'flow_id': 'DATA_B5b_DP3_PP2_TP0_Rank11_Rank7', 'last_begin_time': 0.31781166666666655, 'rate': 8333.333333333334, 'remaining_size': 0.0, 'transferred': 0.5138888888889596}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.5138888888889596, 'time': 0.31830499999999995, 'flow_id': 'DATA_B5b_DP1_PP2_TP0_Rank9_Rank5', 'last_begin_time': 0.31781166666666655, 'rate': 8333.333333333334, 'remaining_size': 0.0, 'transferred': 0.5138888888889596}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.5138888888889596, 'time': 0.31830499999999995, 'flow_id': 'DATA_B5b_DP0_PP2_TP0_Rank8_Rank4', 'last_begin_time': 0.31781166666666655, 'rate': 8333.333333333334, 'remaining_size': 0, 'transferred': 0.5138888888889596}
