{'error': 'remaining_size less than 0', 'new_remaining_size': -4.58333333333306, 'time': 0.21604999999999988, 'flow_id': 'DATA_F7b_DP3_PP1_TP0_Rank7_Rank11', 'last_begin_time': 0.2154999999999999, 'rate': 66666.66666666667, 'remaining_size': 0.0, 'transferred': 4.58333333333306}
{'error': 'remaining_size less than 0', 'new_remaining_size': -11.87500000000008, 'time': 0.2169999999999999, 'flow_id': 'DATA_F7b_DP0_PP1_TP0_Rank4_Rank8', 'last_begin_time': 0.21604999999999988, 'rate': 100000.0, 'remaining_size': 0, 'transferred': 11.87500000000008}
{'error': 'remaining_size less than 0', 'new_remaining_size': -11.87500000000008, 'time': 0.2169999999999999, 'flow_id': 'DATA_F7b_DP2_PP1_TP0_Rank6_Rank10', 'last_begin_time': 0.21604999999999988, 'rate': 100000.0, 'remaining_size': 0, 'transferred': 11.87500000000008}
{'error': 'remaining_size less than 0', 'new_remaining_size': -13.333333333333018, 'time': 0.21834999999999988, 'flow_id': 'DATA_F8a_DP1_PP1_TP0_Rank5_Rank9', 'last_begin_time': 0.21604999999999988, 'rate': 100000.0, 'remaining_size': 15.41666666666694, 'transferred': 28.749999999999957}
{'error': 'remaining_size less than 0', 'new_remaining_size': -13.333333333333018, 'time': 0.21834999999999988, 'flow_id': 'DATA_F8a_DP2_PP1_TP0_Rank6_Rank10', 'last_begin_time': 0.21604999999999988, 'rate': 100000.0, 'remaining_size': 15.41666666666694, 'transferred': 28.749999999999957}
{'error': 'remaining_size less than 0', 'new_remaining_size': -13.333333333333018, 'time': 0.21834999999999988, 'flow_id': 'DATA_F8a_DP3_PP1_TP0_Rank7_Rank11', 'last_begin_time': 0.21604999999999988, 'rate': 100000.0, 'remaining_size': 15.41666666666694, 'transferred': 28.749999999999957}
{'error': 'remaining_size less than 0', 'new_remaining_size': -13.333333333333018, 'time': 0.21834999999999988, 'flow_id': 'DATA_F8a_DP0_PP1_TP0_Rank4_Rank8', 'last_begin_time': 0.21604999999999988, 'rate': 100000.0, 'remaining_size': 15.41666666666694, 'transferred': 28.749999999999957}
{'error': 'remaining_size less than 0', 'new_remaining_size': -11.87500000000008, 'time': 0.21929999999999988, 'flow_id': 'DATA_F8a_DP2_PP1_TP0_Rank6_Rank10', 'last_begin_time': 0.21834999999999988, 'rate': 100000.0, 'remaining_size': 0, 'transferred': 11.87500000000008}
{'error': 'remaining_size less than 0', 'new_remaining_size': -18.33333333333328, 'time': 0.21929999999999988, 'flow_id': 'DATA_B3a_DP1_PP0_TP0_Rank1_Rank13', 'last_begin_time': 0.2169999999999999, 'rate': 133333.33333333334, 'remaining_size': 20.0, 'transferred': 38.33333333333328}
{'error': 'remaining_size less than 0', 'new_remaining_size': -18.33333333333328, 'time': 0.21929999999999988, 'flow_id': 'DATA_B3a_DP0_PP0_TP0_Rank0_Rank12', 'last_begin_time': 0.2169999999999999, 'rate': 133333.33333333334, 'remaining_size': 20.0, 'transferred': 38.33333333333328}
{'error': 'remaining_size less than 0', 'new_remaining_size': -11.87500000000008, 'time': 0.21929999999999988, 'flow_id': 'DATA_F8a_DP0_PP1_TP0_Rank4_Rank8', 'last_begin_time': 0.21834999999999988, 'rate': 100000.0, 'remaining_size': 0, 'transferred': 11.87500000000008}
{'error': 'remaining_size less than 0', 'new_remaining_size': -18.33333333333328, 'time': 0.21929999999999988, 'flow_id': 'DATA_B3a_DP3_PP0_TP0_Rank3_Rank15', 'last_begin_time': 0.2169999999999999, 'rate': 133333.33333333334, 'remaining_size': 20.0, 'transferred': 38.33333333333328}
{'error': 'remaining_size less than 0', 'new_remaining_size': -18.33333333333328, 'time': 0.21929999999999988, 'flow_id': 'DATA_B3a_DP2_PP0_TP0_Rank2_Rank14', 'last_begin_time': 0.2169999999999999, 'rate': 133333.33333333334, 'remaining_size': 20.0, 'transferred': 38.33333333333328}
{'error': 'remaining_size less than 0', 'new_remaining_size': -33.74999999999975, 'time': 0.22064999999999987, 'flow_id': 'DATA_F8a_DP2_PP1_TP0_Rank6_Rank10', 'last_begin_time': 0.21929999999999988, 'rate': 200000.0, 'remaining_size': 0, 'transferred': 33.74999999999975}
{'error': 'remaining_size less than 0', 'new_remaining_size': -33.74999999999975, 'time': 0.22064999999999987, 'flow_id': 'DATA_F8a_DP0_PP1_TP0_Rank4_Rank8', 'last_begin_time': 0.21929999999999988, 'rate': 200000.0, 'remaining_size': 0, 'transferred': 33.74999999999975}
{'error': 'remaining_size less than 0', 'new_remaining_size': -57.499999999999915, 'time': 0.22159999999999988, 'flow_id': 'DATA_B3a_DP2_PP0_TP0_Rank2_Rank14', 'last_begin_time': 0.21929999999999988, 'rate': 200000.0, 'remaining_size': 0, 'transferred': 57.499999999999915}
