{'flow_id': 'DATA3_F999_DP0_PP0_TP0_Rank2_Rank3', 'latency': 0.1, 'bandwidth': 200, 'flow_size': 7000.0, 'standard_time': 280.1}
{'flow_id': 'DATA4_F999_DP0_PP0_TP0_Rank2_Rank3', 'latency': 0.1, 'bandwidth': 200, 'flow_size': 7000.0, 'standard_time': 280.1}
{'flow_id': 'DATA5_F999_DP0_PP0_TP0_Rank2_Rank3', 'latency': 0.1, 'bandwidth': 200, 'flow_size': 7000.0, 'standard_time': 280.1}
{'flow_id': 'DATA_F1a_DP3_PP0_TP0_Rank3_Rank7', 'latency': 0.1, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 0.9}
{'flow_id': 'DATA_F2a_DP3_PP0_TP0_Rank3_Rank7', 'latency': 0.1, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 0.9}
{'flow_id': 'DATA_F3a_DP3_PP0_TP0_Rank3_Rank7', 'latency': 0.1, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 0.9}
{'flow_id': 'DATA_F4a_DP3_PP0_TP0_Rank3_Rank7', 'latency': 0.1, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 0.9}
{'flow_id': 'DATA_F1b_DP3_PP0_TP0_Rank3_Rank7', 'latency': 0.1, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 0.9}
{'flow_id': 'DATA_F2b_DP3_PP0_TP0_Rank3_Rank7', 'latency': 0.1, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 0.9}
{'flow_id': 'DATA_F3b_DP3_PP0_TP0_Rank3_Rank7', 'latency': 0.1, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 0.9}
{'flow_id': 'DATA_F4b_DP3_PP0_TP0_Rank3_Rank7', 'latency': 0.1, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 0.9}
{'flow_id': 'DATA_F5a_DP3_PP0_TP0_Rank3_Rank7', 'latency': 0.1, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 0.9}
{'flow_id': 'DATA_F6a_DP3_PP0_TP0_Rank3_Rank7', 'latency': 0.1, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 0.9}
{'flow_id': 'DATA_F7a_DP3_PP0_TP0_Rank3_Rank7', 'latency': 0.1, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 0.9}
{'flow_id': 'DATA_B1a_DP3_PP0_TP0_Rank3_Rank15', 'latency': 2.2999999999999994, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 3.0999999999999996}
{'flow_id': 'DATA_F8a_DP3_PP0_TP0_Rank3_Rank7', 'latency': 0.1, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 0.9}
{'flow_id': 'DATA_B2a_DP3_PP0_TP0_Rank3_Rank15', 'latency': 2.2999999999999994, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 3.0999999999999996}
{'flow_id': 'DATA_F5b_DP3_PP0_TP0_Rank3_Rank7', 'latency': 0.1, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 0.9}
{'flow_id': 'DATA_B3a_DP3_PP0_TP0_Rank3_Rank15', 'latency': 2.2999999999999994, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 3.0999999999999996}
{'flow_id': 'DATA_F6b_DP3_PP0_TP0_Rank3_Rank7', 'latency': 0.1, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 0.9}
{'flow_id': 'DATA_B4a_DP3_PP0_TP0_Rank3_Rank15', 'latency': 2.2999999999999994, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 3.0999999999999996}
{'flow_id': 'DATA_F7b_DP3_PP0_TP0_Rank3_Rank7', 'latency': 0.1, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 0.9}
{'flow_id': 'DATA_F8b_DP3_PP0_TP0_Rank3_Rank7', 'latency': 0.1, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 0.9}
{'flow_id': 'DATA_B5a_DP3_PP0_TP0_Rank3_Rank15', 'latency': 2.2999999999999994, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 3.0999999999999996}
{'flow_id': 'DATA_B6a_DP3_PP0_TP0_Rank3_Rank15', 'latency': 2.2999999999999994, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 3.0999999999999996}
{'flow_id': 'DATA_B7a_DP3_PP0_TP0_Rank3_Rank15', 'latency': 2.2999999999999994, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 3.0999999999999996}
{'flow_id': 'DATA_B8a_DP3_PP0_TP0_Rank3_Rank15', 'latency': 2.2999999999999994, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 3.0999999999999996}
{'flow_id': 'DATA0_F999_DP0_PP0_TP0_Rank3_Rank0', 'latency': 0.1, 'bandwidth': 200, 'flow_size': 7000.0, 'standard_time': 280.1}
{'flow_id': 'DATA1_F999_DP0_PP0_TP0_Rank3_Rank0', 'latency': 0.1, 'bandwidth': 200, 'flow_size': 7000.0, 'standard_time': 280.1}
{'flow_id': 'DATA2_F999_DP0_PP0_TP0_Rank3_Rank0', 'latency': 0.1, 'bandwidth': 200, 'flow_size': 7000.0, 'standard_time': 280.1}
{'flow_id': 'DATA3_F999_DP0_PP0_TP0_Rank3_Rank0', 'latency': 0.1, 'bandwidth': 200, 'flow_size': 7000.0, 'standard_time': 280.1}
{'flow_id': 'DATA4_F999_DP0_PP0_TP0_Rank3_Rank0', 'latency': 0.1, 'bandwidth': 200, 'flow_size': 7000.0, 'standard_time': 280.1}
{'flow_id': 'DATA5_F999_DP0_PP0_TP0_Rank3_Rank0', 'latency': 0.1, 'bandwidth': 200, 'flow_size': 7000.0, 'standard_time': 280.1}
{'flow_id': 'DATA_F1a_DP0_PP1_TP0_Rank4_Rank8', 'latency': 2.2999999999999994, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 3.0999999999999996}
{'flow_id': 'DATA_F2a_DP0_PP1_TP0_Rank4_Rank8', 'latency': 2.2999999999999994, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 3.0999999999999996}
{'flow_id': 'DATA_F3a_DP0_PP1_TP0_Rank4_Rank8', 'latency': 2.2999999999999994, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 3.0999999999999996}
{'flow_id': 'DATA_F4a_DP0_PP1_TP0_Rank4_Rank8', 'latency': 2.2999999999999994, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 3.0999999999999996}
{'flow_id': 'DATA_F1b_DP0_PP1_TP0_Rank4_Rank8', 'latency': 2.2999999999999994, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 3.0999999999999996}
{'flow_id': 'DATA_F2b_DP0_PP1_TP0_Rank4_Rank8', 'latency': 2.2999999999999994, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 3.0999999999999996}
